ENS,symbol
ENSMUSG00000070939,Tgfbrap1
ENSMUSG00000010290,AI597479
ENSMUSG00000008136,Fhl2
ENSMUSG00000066877,Nck2
ENSMUSG00000026051,Ecrg4
ENSMUSG00000057363,Uxs1
ENSMUSG00000041763,Tpp2
ENSMUSG00000047343,Mettl21c
ENSMUSG00000091844,Gm8251
ENSMUSG00000026049,Tex30
ENSMUSG00000026047,Poglut2
ENSMUSG00000041684,Bivm
ENSMUSG00000026048,Ercc5
ENSMUSG00000046828,Mettl21e
ENSMUSG00000056870,Gulp1
ENSMUSG00000026043,Col3a1
ENSMUSG00000026042,Col5a2
ENSMUSG00000025995,Wdr75
ENSMUSG00000098549,Gm5269
ENSMUSG00000025993,Slc40a1
ENSMUSG00000041144,Dnah7b
ENSMUSG00000101337,Dnah7c
ENSMUSG00000025986,Slc39a10
ENSMUSG00000026109,Tmeff2
ENSMUSG00000045954,Cavin2
ENSMUSG00000026107,Nabp1
ENSMUSG00000018417,Myo1b
ENSMUSG00000062939,Stat4
ENSMUSG00000026104,Stat1
ENSMUSG00000026103,Gls
ENSMUSG00000002881,Nab1
ENSMUSG00000043015,Nemp2
ENSMUSG00000041439,Mfsd6
ENSMUSG00000026102,Inpp1
ENSMUSG00000041426,Hibch
ENSMUSG00000043629,1700019D03Rik
ENSMUSG00000026100,Mstn
ENSMUSG00000060715,1700019A02Rik
ENSMUSG00000026098,Pms1
ENSMUSG00000026097,Ormdl1
ENSMUSG00000100679,Gm28778
ENSMUSG00000026096,Osgepl1
ENSMUSG00000099913,Gm28551
ENSMUSG00000026095,Asnsd1
ENSMUSG00000117809,Gm50478
ENSMUSG00000096141,Dnah7a
ENSMUSG00000026094,Stk17b
ENSMUSG00000042807,Hecw2
ENSMUSG00000025983,Ccdc150
ENSMUSG00000041303,Gtf3c3
ENSMUSG00000109809,Gm34066
ENSMUSG00000073678,Pgap1
ENSMUSG00000052331,Ankrd44
ENSMUSG00000025982,Sf3b1
ENSMUSG00000025981,Coq10b
ENSMUSG00000025980,Hspd1
ENSMUSG00000073676,Hspe1
ENSMUSG00000025979,Mob4
ENSMUSG00000025978,Rftn2
ENSMUSG00000046994,Mars2
ENSMUSG00000025977,Boll
ENSMUSG00000038349,Plcl1
ENSMUSG00000045336,Hsfy2
ENSMUSG00000038331,Satb2
ENSMUSG00000038323,1700066M21Rik
ENSMUSG00000048495,Tyw5
ENSMUSG00000025971,Maip1
ENSMUSG00000038305,Spats2l
ENSMUSG00000054770,Kctd18
ENSMUSG00000026039,Sgo2a
ENSMUSG00000063558,Aox1
ENSMUSG00000064294,Aox3
ENSMUSG00000038242,Aox4
ENSMUSG00000079554,Aox2
ENSMUSG00000051223,Bzw1
ENSMUSG00000026034,Clk1
ENSMUSG00000026035,Ppil3
ENSMUSG00000026036,Nif3l1
ENSMUSG00000026037,Orc2
ENSMUSG00000038174,Fam126b
ENSMUSG00000026032,Ndufb3
ENSMUSG00000047528,Flacc1
ENSMUSG00000026031,Cflar
ENSMUSG00000026029,Casp8
ENSMUSG00000026028,Trak2
ENSMUSG00000026027,Stradb
ENSMUSG00000072295,C2cd6
ENSMUSG00000038079,Tmem237
ENSMUSG00000079550,Mpp4
ENSMUSG00000026024,Als2
ENSMUSG00000026023,Cdk15
ENSMUSG00000041075,Fzd7
ENSMUSG00000047361,Gm973
ENSMUSG00000026021,Sumo1
ENSMUSG00000026020,Nop58
ENSMUSG00000067336,Bmpr2
ENSMUSG00000041040,Fam117b
ENSMUSG00000026018,Ica1l
ENSMUSG00000026019,Wdr12
ENSMUSG00000026017,Carf
ENSMUSG00000073664,Nbeal1
ENSMUSG00000049439,Cyp20a1
ENSMUSG00000026782,Abi2
ENSMUSG00000026014,Raph1
ENSMUSG00000026012,Cd28
ENSMUSG00000026011,Ctla4
ENSMUSG00000026009,Icos
ENSMUSG00000052062,Pard3b
ENSMUSG00000025969,Nrp2
ENSMUSG00000040865,Ino80d
ENSMUSG00000025968,Ndufs1
ENSMUSG00000025967,Eef1b2
ENSMUSG00000046856,Gpr1
ENSMUSG00000027520,Zdbf2
ENSMUSG00000025964,Adam23
ENSMUSG00000115378,Gm39653
ENSMUSG00000069085,Dytn
ENSMUSG00000025963,Mdh1b
ENSMUSG00000025962,Fastkd2
ENSMUSG00000025961,4933402D24Rik
ENSMUSG00000025959,Klf7
ENSMUSG00000025958,Creb1
ENSMUSG00000025956,Mettl21a
ENSMUSG00000070871,Ccnyl1
ENSMUSG00000045005,Fzd5
ENSMUSG00000051344,Plekhm3
ENSMUSG00000025955,Akr1cl
ENSMUSG00000070870,Cryge
ENSMUSG00000067299,Crygd
ENSMUSG00000025952,Crygc
ENSMUSG00000073658,Crygb
ENSMUSG00000044429,Cryga
ENSMUSG00000100846,Gm28845
ENSMUSG00000044816,D630023F18Rik
ENSMUSG00000025950,Idh1
ENSMUSG00000025949,Pikfyve
ENSMUSG00000025946,Pth2r
ENSMUSG00000025945,Crygf
ENSMUSG00000015222,Map2
ENSMUSG00000055567,Unc80
ENSMUSG00000026005,Rpe
ENSMUSG00000026004,Kansl1l
ENSMUSG00000026003,Acadl
ENSMUSG00000061816,Myl1
ENSMUSG00000026000,Lancl1
ENSMUSG00000025991,Cps1
ENSMUSG00000062209,Erbb4
ENSMUSG00000025997,Ikzf2
ENSMUSG00000053153,Spag16
ENSMUSG00000045648,Vwc2l
ENSMUSG00000026196,Bard1
ENSMUSG00000050296,Abca12
ENSMUSG00000026192,Atic
ENSMUSG00000026193,Fn1
ENSMUSG00000039395,Mreg
ENSMUSG00000026189,Pecr
ENSMUSG00000026188,Tmem169
ENSMUSG00000026187,Xrcc5
ENSMUSG00000039372,Marchf4
ENSMUSG00000039354,Smarcal1
ENSMUSG00000039342,Ankar
ENSMUSG00000046330,Rpl37a
ENSMUSG00000039323,Igfbp2
ENSMUSG00000026185,Igfbp5
ENSMUSG00000026182,Tnp1
ENSMUSG00000055322,Tns1
ENSMUSG00000061815,Rufy4
ENSMUSG00000026180,Cxcr2
ENSMUSG00000048480,Cxcr1
ENSMUSG00000006304,Arpc2
ENSMUSG00000064272,Gpbar1
ENSMUSG00000006299,Aamp
ENSMUSG00000026179,Pnkd
ENSMUSG00000006301,Tmbim1
ENSMUSG00000073650,Catip
ENSMUSG00000026177,Slc11a1
ENSMUSG00000026176,Ctdsp1
ENSMUSG00000026175,Vil1
ENSMUSG00000033364,Usp37
ENSMUSG00000026174,Cnot9
ENSMUSG00000026173,Plcd4
ENSMUSG00000026135,Zfp142
ENSMUSG00000026172,Bcs1l
ENSMUSG00000026171,Rnf25
ENSMUSG00000033276,Stk36
